bulletgames,bulletrating,blitzgames,blitzrating,rapidgames,rapidrating,chess960games,chess960rating,crazyhouserd,crazyhouserating
156,1404,5775,1473,37,1660,385,1533,350,0
2,1435,3814,1770,408,1935,786,1641,350,0
0,0,5440,1952,8,1853,11,1857,350,0
10348,1558,3759,1555,12,2079,1571,1545,350,0
3012,978,808,979,200,1026,1400,1042,350,0
898,806,1590,957,585,1073,17,1187,350,0
0,0,0,0,3,750,2,987,350,0
0,0,8,100,13,204,2,303,350,0
33,556,17,1023,72,1192,3,509,350,0
0,0,0,0,3,113,3,423,350,0
28919,1869,4732,2079,37,1828,1050,1835,350,0
28,463,2174,693,611,805,11,1093,350,0
2318,1020,5777,1121,1639,1137,49,1175,350,0
23,476,41,827,732,1143,8,1295,231,616
821,1038,346,1055,22,1012,13,1233,350,0
899,599,741,872,612,1144,25,1117,350,0
10,1808,229,2072,0,0,23,2095,350,0
36,879,1519,1077,198,1285,382,1223,350,0
116,1640,3161,1752,10,1769,19,1662,350,0
100,455,66,622,813,1260,11,963,350,0
17,1141,77,1078,709,1185,13,1161,350,0
7,711,160,776,536,946,70,918,350,0
412,1588,556,1744,955,1719,72,1619,350,0
4950,2264,2698,2290,1338,2230,93,1958,46,1993
198,1012,8902,1108,69,1263,6849,1248,350,0
19,464,369,612,1026,1045,14,1027,350,0
6443,1647,5605,1717,1361,1734,266,1600,350,0
2056,1017,3032,805,199,619,48,1163,350,0
733,1314,20582,1329,0,0,1423,1280,41,1083
0,0,207,541,148,926,14,573,130,236
79,1664,22266,2048,461,2071,10,1600,124,1446
0,0,0,0,2,1333,2,1750,350,0
3,100,10,220,104,235,5,100,237,395
12318,1876,7750,2013,59,1960,453,1820,66,1627
18412,1641,2498,1558,3,1486,11984,1526,86,1353
0,0,0,0,0,0,14,1567,350,0
6995,1129,2880,1143,103,1209,628,1208,350,0
2280,560,1117,653,555,748,95,895,350,0
1315,1010,9219,1098,420,1372,3329,1334,350,0
2997,2219,5527,2100,215,2025,84,1872,350,0
0,0,2,2100,327,1933,9,2223,350,0
855,2403,1393,2572,37,2402,11,2068,350,0
0,0,1990,1132,74,1360,15,1278,350,0
322,1120,910,891,1944,1123,11,918,350,0
16,476,174,1015,994,1239,6,1132,350,0
30,740,6155,1111,436,1424,7,1539,350,0
4067,1347,20325,1611,1404,1855,225,1296,285,1392
1091,1176,25649,1293,69,1312,27,1483,79,1168
145,1088,983,1126,169,1327,23,1231,350,0
691,1294,2490,1441,636,1327,9,1371,350,0
289,1483,369,1548,439,1621,5,1219,350,0
0,0,445,1836,0,0,4,1616,350,0
245,1070,1249,1009,349,1223,14,1095,107,686
24,745,269,965,4612,1106,47,981,350,0
1,1121,2301,674,1709,674,1,597,350,0
319,1045,3541,980,65,1138,35,1168,216,1145
7795,2004,9114,1710,144,1673,15,1415,156,1221
2301,1773,2997,1994,284,2003,36,1744,89,1509
1443,1861,43,1860,0,0,7,1707,350,0
1803,1858,3328,1813,434,1772,93,1544,71,1415
238,1097,1559,1282,458,1236,49,1258,94,1039
745,1419,2991,1644,973,1605,21,1144,108,1111
114,1094,1248,1399,233,1442,34,1324,81,1141
367,1233,2357,1343,576,1512,91,1064,86,1205
198,795,713,943,57,1307,20,1048,79,1018
12479,761,1929,748,841,1247,7,906,350,0
581,1401,3055,1270,324,1386,53,1016,101,1106
89,524,124,449,207,414,5,338,350,0
148,639,78,887,955,1119,7,707,188,611
0,0,358,1623,292,1644,11,1796,350,0
14,906,220,1188,265,1363,5,1412,350,0
1,1137,10706,1382,4986,1420,11,1357,350,0
1,1125,4782,1341,350,1311,7,1137,350,0
1,808,114,1161,329,1189,10,1092,350,0
0,0,25,359,169,973,7,799,350,0
5,643,94,926,483,927,7,700,350,0
24368,1712,971,1740,35,1562,3141,1757,61,1421
4172,2757,609,2666,480,2171,19,2209,286,2508
626,570,395,902,1253,1216,35,1196,350,0
1225,2163,1526,2189,131,2203,15,2208,350,0
82,1220,62,1129,772,1534,11,1361,350,0
1124,1985,1064,2191,104,2191,828,2002,89,1702
18,831,15548,1151,495,1057,597,1466,350,0
1158,1098,3334,1243,2473,1363,1127,1329,350,0
5414,1532,8569,1575,492,1837,181,1520,350,0
38116,1018,5403,1065,123,1157,104,1220,350,0
1957,1513,4098,1575,888,1605,89,1456,350,0
1946,1962,2,1396,0,0,334,1651,350,0
22307,1230,3488,1279,250,1748,30,1329,350,0
55,1741,4456,1972,0,0,1217,1784,350,0
1282,1174,1373,1589,8,1156,171,1520,350,0
0,0,138,1444,0,0,41,1502,350,0
249,685,22836,853,1,1260,490,1131,213,950
12601,1978,1599,1944,77,2023,1367,1764,350,0
2579,1903,9462,1936,593,1988,25,1632,350,0
741,1347,511,1132,3375,1287,175,1005,35,1469
14,939,566,1240,891,1387,24,1043,114,1192
80,440,91,977,706,1057,17,855,127,806
37,767,1858,1268,434,1494,5,1147,120,1228
34,741,17,800,1363,1072,3,716,175,671
520,1316,2178,1348,2132,1533,29,1195,82,1325
390,1107,721,1113,429,1328,67,836,85,1082
0,0,0,0,15,670,5,486,147,484
0,0,0,0,299,642,4,594,192,442
316,1077,723,1131,8,1266,86,1200,347,1097
0,0,10,967,0,0,14,899,350,0
4578,1503,4065,1610,0,0,5342,1676,350,0
7412,2226,7534,2154,1780,2053,125,1785,114,1525
5769,1443,3278,1536,4,1604,1136,1489,350,0
759,733,191,534,76,373,67,770,350,0
1385,1501,5115,1505,815,1669,19,1485,79,1065
1985,1432,3068,1611,767,1798,511,1715,350,0
0,0,0,0,0,0,17,1517,350,0
58,874,7,1026,173,1037,10,920,209,462
35,1585,0,0,0,0,203,1867,73,1785
84,647,6,545,2,295,13,1045,148,688
27,915,69,822,261,1121,35,1157,114,879
152,761,82,869,327,1194,40,1149,350,0
16530,1969,17581,1952,29,1957,180,1784,350,0
9661,1170,3170,1240,15,1313,3076,1369,350,0
2922,1422,63516,1881,591,1682,134,1696,350,0
1155,1530,6532,1881,149,1929,150,1692,135,1300
20940,2333,14286,2232,404,1913,299,2125,199,1416
34,1374,335,1672,0,0,66,1634,350,0
1935,1262,229,1001,1497,1031,106,1296,350,0
125,1140,2690,1344,189,1438,131,1310,350,0
14806,1463,12848,1619,756,1909,789,1600,350,0
20952,1725,3926,2204,3,1309,3424,1866,31,1661
1762,1603,1247,1626,225,1660,160,1444,350,0
9230,1329,11852,1532,999,1359,2193,1445,350,0
4212,1342,8286,1390,4004,1410,3248,1493,350,0
160,1740,710,1834,0,0,15,1564,350,0
0,0,47,793,8,422,14,1114,350,0
1624,1449,592,1335,800,1547,12,1492,197,1191
6,604,9,817,3,1308,11,1072,350,0
10057,1400,2327,1503,1361,1558,354,1412,350,0
1438,1325,636,1180,1150,1312,13,990,74,1068
13,1170,10748,1554,629,1633,47,1364,83,1165
0,0,197,449,239,722,24,776,92,744
1,815,327,916,894,1184,79,984,63,1163
13,500,285,225,808,665,59,610,70,638
5,1512,12,1168,59,1591,6,1089,109,1130
2,1114,6,854,197,720,8,1033,100,644
99,563,426,662,486,799,60,699,76,744
0,0,0,0,2,536,1,868,249,1362
41,914,256,1175,685,1318,45,1257,72,1148
0,0,0,0,157,510,7,470,126,647
1,642,0,0,0,0,16,1609,350,0
7619,1995,8565,2231,52,1807,3508,1936,350,0
11901,1735,18130,1928,12,1681,11779,1873,350,0
15741,663,1410,857,88,900,180,1044,350,0
1028,1503,655,1410,26,1216,52,1564,350,0
41,835,25,732,141,1101,19,1016,350,0
0,0,3,1664,0,0,697,1278,350,0
104,802,282,1009,2429,1223,42,844,106,976
141,1840,34751,2042,25,2147,1112,2001,350,0
193,1558,9146,1786,32,1786,18,1646,350,0
76,1491,992,1813,20,1666,25,1744,295,1362
150,1789,117,1666,54,1515,7,1683,350,0
840,1185,4632,1315,1259,1601,48,1470,350,0
0,0,62,1502,2,1604,6,1555,350,0
136,980,3828,1348,1457,1556,99,1479,79,1277
496,1761,630,1791,30,1830,18,1661,350,0
3961,1017,13495,1307,2062,1314,138,1128,350,0
282,1102,196,868,43,985,11,1071,350,0
133,1455,2280,1651,80,1575,25,1454,350,0
868,979,526,1302,74,1254,4,1252,122,760
143,444,522,1189,5757,1431,6,880,350,0
0,0,3,1260,2,1143,1,1122,350,0
1,272,10,729,442,1126,1,724,350,0
4128,1740,2998,1498,281,1379,176,1425,40,1681
4,1005,79,1163,55,1325,4,945,350,0
242,726,848,987,287,1395,27,1337,87,584
591,2421,2635,2384,772,2204,66,2322,350,0
20253,1634,10107,1424,31,1494,470,1525,350,0
2600,969,1437,1059,1043,1262,37,1160,350,0
4077,2003,3017,2008,28,1932,164,1766,63,1353
45,1660,14,1725,391,1825,62,1694,51,1417
12619,1030,1952,864,32,647,92,1340,130,901
396,1299,331,1374,316,1405,497,1371,350,0
441,902,1041,1043,719,1433,43,1177,350,0
3618,1665,6279,1742,8,1623,7313,1686,350,0
391,986,126,654,38,868,20,1195,350,0
646,725,573,827,161,847,49,1189,350,0
15651,1577,6837,1613,132,1734,7270,1731,350,0
15819,1297,146,1087,6,682,119,1342,350,0
11328,2463,228,2210,3,1397,1851,2159,350,0
2664,916,1629,1209,258,1268,226,1204,350,0
1287,1425,2210,1599,147,1874,597,1620,350,0
646,959,92,741,6,887,30,1349,350,0
843,1786,466,1836,102,1832,43,1660,350,0
77,1032,3000,1161,0,0,72,1119,350,0
225,1276,1035,1567,793,1551,86,1475,350,0
11030,1454,2588,1706,51,1431,189,1612,350,0
338,1011,201,1021,26,1110,59,1242,48,1267
9570,1099,653,936,33,1088,6164,1198,350,0
352,1441,11500,1695,600,1760,3551,1514,350,0
1455,1450,186,1422,29,1335,114,1584,350,0
116,1507,2326,1996,32,1768,105,1728,72,1386
1,994,845,1393,0,0,281,1530,350,0
21,901,1057,1133,21,1346,47,1253,350,0
125,705,3841,817,2,1018,5252,1267,350,0
24077,1683,4340,1598,26,1423,56,1686,350,0
265,1628,166,1478,141,1725,18,1686,350,0
4799,1539,624,1712,0,0,534,1680,350,0
1626,1676,3984,1903,0,0,1397,1750,350,0
3795,1527,3588,1600,304,1676,2975,1622,350,0
12,1377,1671,1681,259,1706,164,1635,350,0
97,1715,1620,1784,0,0,3447,1811,69,1616
4800,1357,358,1321,355,1416,86,1312,49,1271
7,840,251,788,166,818,18,769,139,830
1383,1425,7533,1644,2395,1944,757,1567,350,0
307,1565,21206,1777,137,1559,153,1503,32,1242
22705,1807,4640,1848,212,1913,3524,1785,350,0
26,761,670,827,202,1227,91,921,350,0
16435,1376,16819,1792,9,1791,11550,1555,247,1549
323,1542,1876,1634,72,1744,1733,1741,87,1726
42,828,301,816,232,932,22,1248,151,1275
199,1382,886,1084,386,1285,28,1273,144,1074
19,509,123,451,6,767,34,842,146,524
3,326,66,700,8,601,33,793,173,937
1,739,12,408,38,269,10,800,246,137
6,940,25,303,47,168,12,803,219,322
4,418,36,352,3,398,15,549,274,330
0,0,32,528,7,387,15,451,182,243
1,1511,2,1178,0,0,8,1529,350,0
0,0,2,1042,0,0,2,1075,350,0
1,1504,0,0,0,0,5,1583,350,0
0,0,0,0,0,0,5,400,350,0
0,0,2,1057,0,0,6,1145,350,0
1,1514,2,1232,0,0,8,1505,350,0
0,0,0,0,0,0,8,1539,350,0
4419,1963,1155,2004,69,1730,172,1924,86,1609
8892,1558,344,1708,71,1717,392,1676,350,0
6,1425,285,1518,15,1669,486,1519,350,0
8963,1437,941,1603,235,1487,55,1385,350,0
2,1063,60,1031,21,913,18,1333,44,1376
143,1815,599,1944,204,1997,10,1929,111,1555
1527,1251,2396,1542,258,1700,1762,1508,205,1200
1166,1027,1016,920,234,1127,244,1275,350,0
7956,2114,2154,2178,451,2052,145,1953,350,0
221,2011,45,1720,0,0,11,1526,350,0
2025,421,1542,666,261,717,386,730,350,0
66,1409,14307,1596,10,1756,1355,1562,350,0
104,1447,3707,1986,26,1838,53,1690,198,1337
726,1420,2553,1640,12,1591,4923,1497,90,1474
3,1060,70,1259,66,1441,7,1422,350,0
2148,1280,662,1363,0,0,74,1495,163,1243
4955,1483,830,1620,3,1506,157,1592,350,0
2827,1301,159,1731,8,1411,47,1521,350,0
2693,2135,6028,2254,49,1947,305,2037,350,0
59,1151,20927,1449,511,1706,3225,1417,39,1356
1393,1378,2231,1159,369,1180,41,1392,350,0
257,1325,6797,1482,25,1476,6746,1649,199,1242
15,800,51,1170,174,1340,3554,1332,94,1089
4175,1664,2297,1770,0,0,396,1576,27,1521
68,758,732,1184,1380,1249,63,1274,350,0
5161,881,3588,799,90,819,5219,1134,350,0
84,1033,1637,1242,7,1730,606,1186,350,0
1488,1842,48,1943,0,0,2056,1766,350,0
1044,897,2658,1348,771,1464,94,1342,350,0
214,1453,393,1336,596,1272,7,1444,350,0
2674,1543,11992,1567,718,1656,484,1708,57,1301
231,1872,3027,1927,1002,2108,12,1535,73,1308
809,1530,2049,1701,204,1853,78,1752,57,1474
1005,1405,5734,1484,229,1552,198,1546,24,1604
176,1284,7404,1709,179,1720,85,1524,101,1214
3,982,1914,1386,359,1565,10,1116,350,0
331,1469,2224,1771,206,1790,34,1412,284,1480
4651,1450,24600,1610,234,1648,456,1455,54,1348
3055,1368,1979,955,553,1095,7,1320,176,808
1880,1153,536,743,150,759,44,844,54,1207
162,547,2257,1013,613,1195,23,1055,184,662
1464,1153,449,1082,597,1272,32,1068,74,925
540,947,223,1364,120,1529,6,1256,350,0
2,534,152,1543,177,1725,2,1376,350,0
172,1446,892,1582,286,1509,92,1497,47,1377
0,0,1582,1403,820,1644,261,1489,350,0
2058,1963,951,2270,0,0,1643,2012,70,1911
435,1313,9480,1432,153,1777,2105,1594,350,0
30733,1444,1255,1369,28,953,1177,1480,77,1152
1986,1864,1820,2072,356,1753,2867,1693,297,1419
