username,bulletgames,bulletrating,blitzgames,blitzrating,rapidgames,rapidrating,classicalgames,classicalrating,chess960games,chess960rating,crazyhousegames,crazyhouserating
devsundarraj,434,1323,1371,1585,1704,1862,55,1127,16,1165,104,1291
rfdzaki,4649,2261,3758,2254,147,2132,0,1500,216,1819,11,1404
nsn21,747,1917,337,1919,541,1969,53,1849,676,1712,17,1755
mbahbasssim,383,1570,12706,1924,2999,1881,0,1500,239,1512,45,1496
andry_mgs,132,1820,3763,2213,74,2231,0,1500,76,1833,7,1347
ronald_bc,152,1984,845,2054,17,2010,1,1656,50,1885,0,0
supali,6097,2138,8511,2213,295,2184,16,1819,146,1882,12,1553
akbarov_bc,1149,2097,1741,2187,3,1756,0,1500,0,0,81,1609
presiden,46001,1844,97260,2023,4607,2155,3,1427,837,1603,19,1169
pion_naga,583,1928,10363,2105,164,2191,0,1500,160,1744,42,1437
anna_taa,2831,1971,2051,2022,28,2367,0,1500,90,1707,0,0
yusufbudiraharjo,923,1838,7109,2000,169,2078,2,1641,137,1627,152,1488
fadlizon,456,1693,8015,2088,527,2328,0,1500,204,1736,7,1087
armanto-bkd,2146,2126,4447,2195,278,2177,15,2081,25,1994,57,1372
handa_sei,18961,2022,5762,2143,84,2125,0,1500,400,1711,3,1345
chandramanidevi,304,2106,103,2280,21,2504,0,1500,80,1813,3,1481
alfa_omegafly,12118,2110,10604,2183,0,1500,10,2183,136,1797,0,0
meteoricunicorn,211,1172,142,1161,20,980,7,967,16,1132,321,1211
milsbees,2662,1541,1925,1853,411,1863,76,1728,38,1387,471,1567
holaweuwu,3,1350,104,1433,233,1433,0,1500,71,1210,0,0
fernandes64,65,1365,1703,1915,1020,2081,655,2032,95,1637,0,0
iantl,238,1808,883,1956,625,2036,22,1750,3,1708,57,1700
ahmet23cm,894,1243,120,1169,31,1322,8,1525,5,1549,50,1384
brettsinclair,45622,2191,773,2445,0,1500,0,1500,0,0,4497,2015
etnvith,1342,1295,678,1304,2474,1367,6,1209,9,1223,208,1394
juanvm,4304,1865,17569,2035,31,2019,4,1578,4,1695,130,1737
norway590,1155,1562,632,1648,60,1514,30,1556,80,1415,176,1537
mark_antonie_maurus,588,1406,27,1688,12,1608,7,1524,5,1618,77,1528
uriel12321xd,8437,2248,5804,2245,539,2256,20,1715,91,2003,62,2017
silja420,5302,1625,349,1132,16,1373,86,1594,43,1373,55,1482
aaravgupta_0111,1732,1779,1621,1846,671,1800,117,1767,82,1202,3,1661
ginoeskere98,96,2087,66,1803,89,2166,32,2304,93,1865,7,1919
msg09,194,1429,144,1157,283,1429,30,1634,23,1249,194,1513
dima_soy-3000,9,848,37,881,427,1051,14,1227,1,1404,61,1200
mashhady12,1029,1780,7529,2109,674,2510,0,1500,78,1740,0,0
firedragon77,185,1676,4400,2117,1948,2234,641,2174,81,1814,271,1736
killerbishop888,1519,2420,558,2255,333,2099,93,2122,145,2114,292,2173
lwazi_2004,11968,2408,7092,2359,228,2331,0,1500,85,2046,95,1843
wenlangm1,9848,2428,2342,2513,160,2422,14,2009,214,1914,2,1973
hi10,82,1003,115,1216,97,1478,54,1461,13,1491,132,1354
ricardollopes,3405,1697,14752,2022,1064,2071,42,2010,90,1667,193,1658
anahitakhoshtallat,187,1361,1267,1463,1298,1528,11,1286,10,969,136,1260
historicmarauder,348,1826,2287,1954,102,1839,0,1500,21,1575,281,1690
kadir_akman_1453,1672,1673,981,1633,516,1632,206,1566,97,1424,264,1668
neristoin,1692,2026,8032,2275,130,2099,7,1904,5,1646,80,1723
dariy7,27,1578,666,1877,1492,2005,13,1697,21,1688,245,1578
pony2,110,1693,1109,2001,662,2098,48,1662,11,1214,88,1671
adrian_wills,2097,2014,429,2130,125,2192,48,2129,273,1800,153,1805
bnck2012,1610,1799,3831,2085,1372,2078,169,1825,10,1023,125,1398
ts2021,56,641,414,851,530,898,21,961,9,738,83,1081
liverpool20champion,70,1336,1213,1496,714,1709,3,1553,55,1566,29,1240
avaneeshprem,979,1721,291,1802,1038,1853,22,1690,1,1365,52,1351
diana_chess,25,1195,635,1135,322,1338,16,1139,9,1101,160,1137
bergdoktor2,213,1810,947,2053,280,2138,32,1993,941,1668,0,0
jullojoustauwu,2326,2114,914,2105,746,2082,76,1946,66,1729,30,1520
jenith29,263,1992,2848,1993,172,2082,2,1928,0,0,50,1783
udeepta,7791,1472,3730,1990,661,1909,262,1877,67,1585,3,1219
sgd_1000,48,1804,189,2083,34,2234,1,1817,376,1774,29,1612
arush-0308,6208,2068,2508,2075,2160,2066,141,1809,146,1762,761,1972
mrsauravkt,663,1263,104,1263,47,1547,1,1593,6,1449,59,1572
durgavipin,20,696,38,915,56,1222,17,1292,6,1034,130,1001
gks2021,1413,1695,408,1921,516,1954,82,1848,3,1844,99,1495
safar63,159,2063,5238,2284,364,2435,0,1500,885,1924,2,962
bagoysuragoy,6357,2462,4005,2332,279,2406,3,1818,1186,2071,487,1981
jazminparedes_seclin,293,1492,968,1778,1417,1691,25,1708,419,1575,0,0
majidou,771,1376,13412,1628,13550,1782,545,1684,57,1456,2,1278
lucas_mtz,39,927,235,1471,15,883,9,1407,9,994,61,1527
grandmax_78,753,1768,6742,1927,131,1979,0,1500,151,1549,10,1297
artem30,105,1306,381,1555,274,1909,10,1712,57,1572,0,0
anonymousanime,611,2241,49,2182,2,2549,0,1500,12,1902,124,1878
dawn4365,389,747,1200,1040,1174,1329,624,1306,64,1155,0,0
maximus7621,963,1804,2681,1778,733,1809,227,1681,51,1169,54,1322
selviege,12123,2294,3837,2258,173,2289,3,1610,52,1874,161,1881
bas9840,5,1013,3,1273,528,1576,910,1588,1,1252,115,1380
schackisen,11987,1881,7631,1873,271,2008,16,1671,2,1279,53,1585
tareqkomboz,1915,2121,3566,2112,607,2221,61,2133,16,1708,145,1824
putihjalandulu,79,1604,349,1847,105,1944,110,1884,134,1589,0,0
tpw09,1117,1788,681,1453,440,1622,47,1545,24,1514,69,1701
james_vega,1172,2006,406,2109,17,1625,0,1500,96,1626,0,0
randeer2007,3804,2006,1157,1635,911,1798,52,2152,40,1565,133,1629
mario-odyssey,2678,1569,3596,2021,2791,2032,5,1898,76,1631,0,0
pautaluis2012,534,2011,2183,2253,557,2151,42,2096,78,1811,0,0
almagistri,11548,1755,3021,1875,215,2083,24,1729,52,1564,0,0
illogicalism,16642,1874,1405,1766,79,1684,3,1263,0,0,116,1652
jwszach,0,1500,1709,2123,429,2346,68,2180,734,1789,0,0
jacobhess,5534,1747,6421,1889,265,1921,61,1756,189,1662,884,1652
adamkros,8,1058,90,1452,339,1811,6,1548,38,1540,94,1691
mdg123,332,1491,484,1747,791,1922,45,1841,16,1362,190,1493
thetiltedone,7391,2001,2874,2003,160,1907,14,1744,78,1679,329,1671
megaraptor1,9706,2691,2921,2668,21,2493,0,1500,374,2344,236,2234
hiddeschaakt,3228,1843,1333,1728,295,1688,46,1501,179,1515,413,1630
stephenwelch11,1312,1440,2182,1662,540,1824,55,1864,1,1396,202,1448
sahaanahandhok,15,915,257,1020,336,1267,22,1309,22,1473,115,1223
gloriousspeed,1399,2131,59,2188,4,1975,1,1667,0,0,7656,2274
kelas3,3505,1842,780,1677,26,1723,4,1267,8,1522,72,1586
aherorises,397,1265,1578,1349,454,1783,96,1830,58,1462,91,1536
samuelgo,1655,1983,3376,2101,157,2065,4,1902,62,1590,124,1588
stiviboi1,1858,1926,473,1825,58,1830,0,1500,0,0,55,1591
variant-master,420,1805,638,1763,7,1749,0,1500,1512,1907,85,1841
jmra-357,10748,2442,3530,2520,18,2084,0,1500,52,1923,15,1779
alex110711,402,995,112,1029,453,1167,19,1512,0,0,57,1259
vigo666,1667,1878,6661,2072,21,2190,0,1500,552,1653,7,1671
matej-mydlar,767,2054,506,2032,678,2021,30,1735,19,1535,155,1609
m_obidjonov,13,879,60,1356,79,1642,19,1502,10,1441,135,1344
kazbek125,740,1576,446,1941,43,1848,0,1500,55,1782,8,1140
ratnaji,1730,1671,504,1579,294,1529,16,1411,6,1249,68,1482
topkekator,3541,2100,2669,2245,133,2172,0,1500,1,1454,149,1784
maddiem,16,706,223,1066,111,1197,13,977,3,1067,81,1186
kodak12,126,2065,58,2257,0,1500,0,1500,129,1907,0,0
mihas4447,236,1310,1274,1559,1189,1936,13,1599,17,1730,88,1592
amrit8868,847,1684,2605,1926,1392,1778,21,1329,7,1377,118,1597
why_i_like_chess,1189,1465,329,1440,65,1254,6,1190,3,1411,65,1438
wangbaihan,15,1090,59,1236,58,1246,71,1297,13,1236,409,1216
yugkamalkhiani,2037,2185,4027,2118,835,2049,45,1782,351,1877,154,1680
ravibhaghasra,51,1405,311,1690,872,1841,1,1567,27,1443,182,1517
epic_eshwar,10,913,72,1278,53,1602,5,1474,11,1570,53,1450
throwthekitchensink,2289,1913,22,2059,0,1500,0,1500,72,1852,0,0
a42,2002,2002,1902,1940,125,2103,0,1500,56,1703,0,0
mandtam,20201,2002,5216,1866,569,2004,208,1820,425,1549,0,0
mert_sahin,14,1227,43,1393,1354,1913,36,1573,11,1412,87,1515
fatal____error,13889,2429,2491,2500,184,2491,156,2430,62,2194,261,2166
artemii_timofeev,64,1262,671,1568,874,1704,88,1557,13,1240,105,1385
trueblue2021,68,876,492,1089,584,1204,88,1201,19,1059,592,1411
tim6120,1008,1756,1074,1773,515,1780,49,1553,2,1307,64,1501
amontejo,225,1652,4629,1885,72,1884,0,1500,70,1641,0,0
aanhtk,151,1191,1866,1614,404,1826,8,1414,116,1349,14,1239
maaxim26092002,154,1707,612,2128,129,2027,4,1995,3,1618,613,1923
rafetll,3158,1882,11680,1908,437,1978,0,1500,645,1563,0,0
garegin_arakelian,114,1552,2197,1952,449,1884,222,1772,188,1578,15,1396
keshav021,293,1330,133,1302,344,1643,28,1255,5,1005,76,1063
bihhahhnihh,7302,1866,877,2116,2,1749,93,2140,70,1830,14,1538
scottishscandinavian,5430,2039,2250,2045,526,2033,39,1711,34,1655,298,1655
chessbm,614,2002,752,2082,28,2130,0,1500,6,1910,94,1654
zuberiayinde,162,1216,499,1431,2424,1698,1601,1638,3,1224,84,1481
rouketas,581,1326,3102,1663,1483,2000,2414,1836,66,1576,7,1249
motaung-kay,5607,2004,5140,2088,144,2106,0,1500,580,1771,0,0
isaacmonty,2552,1657,3196,1841,409,1909,5,1715,0,0,104,1412
kirsman14,535,1236,570,1487,1166,1634,47,1384,9,1294,79,1349
apramay05,497,1697,351,1533,57,1613,23,1787,3,1253,58,1623
